INDEX,MAHDOUDE_NAME,MAHDOUDE_CODE,AQUIFER_NAME,LOCATION_NAME,X,Y,ZONEUTM,X_,Y_,MIN_YEAR,MAX_YEAR,LEVEL_MSL,LEVEL_SRTM
1,سرخس,6004,سرخس,اراضی حسن آباد جر -wb,324655,4045424,41,61.04119786,36.53814369,,,272,272
2,سرخس,6004,سرخس,اول کچولی,328501,4036848,41,61.08604346,36.46157057,,,290,290
3,سرخس,6004,سرخس,ایستگاه کنترل گاز,328548,4022853,41,61.08965746,36.3354797,,,347,347
4,سرخس,6004,سرخس,بابا لقمان,335901,4049057,41,61.16599454,36.57287583,,,269,269
5,سرخس,6004,سرخس,بعد از آصف- چاه شماره 5,333898,4033275,41,61.14701192,36.43032646,,,293,293
6,سرخس,6004,سرخس,بعد از قوش سربزی عیسی مختاری,329550,4029350,41,61.09939271,36.39419833,,,303,303
7,سرخس,6004,سرخس,بلوار امام رضا (ع),336223,4045565,41,61.17033385,36.5414665,,,274,274
8,سرخس,6004,سرخس,بین تام مختار و کندکلی,327184,4049761,41,61.0684623,36.57768053,,,268,268
9,سرخس,6004,سرخس,بین کچولی و قوش عظیم,331170,4034220,41,61.11638804,36.43836517,,,291,291
10,سرخس,6004,سرخس,پشت پاسگاه سه گوش,334472,4051364,41,61.149535,36.59341598,,,267,267
11,سرخس,6004,سرخس,پشت گازرسانی,333621,4045802,41,61.1412277,36.54315249,,,277,277
12,سرخس,6004,سرخس,تام رسول,323711,4049942,41,61.02962424,36.57867612,,,264,264
13,سرخس,6004,سرخس,جاده شیلات چاه شماره 9,332705,4054228,41,61.12916758,36.61891295,,,263,263
14,سرخس,6004,سرخس,چاه آب شرب,334636,4044798,41,61.15277712,36.5342822,,,278,278
15,سرخس,6004,سرخس,حاجی جهند,337938,4004477,41,61.19804162,36.17151845,,,278,278
16,سرخس,6004,سرخس,دامپروری (2),328220,4040808,41,61.0820296,36.49720048,,,284,284
17,سرخس,6004,سرخس,راه جنگل چاه شماره 10,328441,4052639,41,61.0818626,36.60383806,,,263,263
18,سرخس,6004,سرخس,روستای یاس تپه چاه شماره 13,323337,4053146,41,61.02471043,36.60747398,,,264,264
19,سرخس,6004,سرخس,شماره 1 جاده دولت آباد به صمد,329244,4019211,41,61.0982062,36.30278721,,,331,331
20,سرخس,6004,سرخس,شماره 2 جاده دولت آباد به صمد,330258,4013785,41,61.11067304,36.25407475,,,407,407
21,سرخس,6004,سرخس,شیر تپه,335783,3996833,41,61.17568688,36.10227424,,,366,366
22,سرخس,6004,سرخس,صمد آباد,333499,4007943,41,61.14797214,36.20199748,,,356,356
23,سرخس,6004,سرخس,قبرستان تپه میراحمد,332695,4049486,41,61.13008748,36.57618471,,,274,274
24,سرخس,6004,سرخس,قبرستان عباس آباد,329921,4046354,41,61.09979019,36.54747473,,,276,276
25,سرخس,6004,سرخس,قبل از قوش سربزی شماره 4,332993,4029122,41,61.13781449,36.39274857,,,303,303
26,سرخس,6004,سرخس,قلعه نو چاه شماره 6,334780,4037480,41,61.15594978,36.46836826,,,287,287
27,سرخس,6004,سرخس,قوش چاکر,328450,4046773,41,61.08327046,36.55098696,,,276,276
28,سرخس,6004,سرخس,قوش خزائی,331425,4039673,41,61.11804419,36.48754358,,,281,281
29,سرخس,6004,سرخس,قوش سربزی,331123,4025930,41,61.11766689,36.36366022,,,309,309
30,سرخس,6004,سرخس,کلاته مره ای -اس 7,336402,4013004,41,61.17919094,36.2480976,,,333,333
31,سرخس,6004,سرخس,مسیر خط انتقال آب,330068,4049159,41,61.10081304,36.57277431,,,265,265
32,سرخس,6004,سرخس,معدن شن و ماسه -3,330704,4036539,41,61.1106847,36.45917805,,,286,286
33,سرخس,6004,سرخس,مقابل منطقه ویژه اقتصادی,324670,4034760,41,61.0437838,36.44206456,,,315,315
34,سرخس,6004,سرخس,منطقه ویژه تجاری,327360,4032320,41,61.0743249,36.42056768,,,306,306
35,سرخس,6004,سرخس,نزدیک فرودگاه خط لوله 7,328202,4043802,41,61.08116273,36.5241735,,,277,277
36,سرخس,6004,سرخس,نزدیک فنسهای فرودگاه,324087,4041753,41,61.03569263,36.50496418,,,289,289
37,سرخس,6004,سرخس,نوار مرزی-14,316424,4054512,41,60.94713313,36.61847457,,,258,258
38,سرخس,6004,سرخس,نوار مرزی-چاه شماره 11,328444,4056794,41,61.08096806,36.64127488,,,261,261
39,سرخس,6004,سرخس,نوار مرزی-چاه شماره 12,321029,4056174,41,60.99821308,36.63432425,,,261,261
40,سرخس,6004,سرخس,نهر انقلاب,325017,4039104,41,61.04667153,36.48126735,,,299,299
41,سرخس,6004,سرخس,یاز تپه چاه شماره 2,320848,4053876,41,60.99672576,36.61358645,,,260,260
42,سرخس,6004,سرخس,یاس تپه راه جنگل,325760,4054481,41,61.05148527,36.61994795,,,261,261
43,سرخس,6004,سرخس,s.6,335000,4010000,41,61.16422731,36.22079023,,,364,364
44,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,325084,4045190,41,61.04604082,36.53611398,,,276,276
45,سرخس,6004,سرخس,پشت فرودگاه قدیم - 7,332848,4042633,41,61.13328244,36.5144638,,,279,279
46,سرخس,6004,سرخس,قبل از نوروزآباد- اس 9,334051,4018988,41,61.15176606,36.30161734,,,321,321
