,index,MAHDOUDE_NAME,AQUIFER_NAME,DATE_GREGORIAN,DATE_PERSIAN,HEAD_AQUIFER_THISSEN,ADJ_HEAD_AQUIFER_THISSEN
0,0,M_01,A_01,2002-01-05,1380-10-15,743.6462080107365,744.6045494537111
1,1,M_01,A_01,2002-02-04,1380-11-15,743.6583609339117,744.6167023768863
2,2,M_01,A_01,2002-03-06,1380-12-15,743.5936034204555,744.5519448634301
3,3,M_01,A_01,2002-04-04,1381-1-15,743.4692220057705,744.4275634487451
4,4,M_01,A_01,2002-05-05,1381-2-15,743.4030974079195,744.3614388508942
5,5,M_01,A_01,2002-06-05,1381-3-15,743.1939515176216,744.1522929605962
6,6,M_01,A_01,2002-07-06,1381-4-15,743.0245557978388,743.9828972408135
7,7,M_01,A_01,2002-08-06,1381-5-15,742.8348612364725,743.7932026794472
8,8,M_01,A_01,2002-09-06,1381-6-15,742.9285032327284,743.8868446757031
9,9,M_01,A_01,2002-10-07,1381-7-15,742.7983488836635,743.7566903266381
10,10,M_01,A_01,2002-11-06,1381-8-15,742.7769828253031,743.7353242682777
11,11,M_01,A_01,2002-12-06,1381-9-15,742.820702912271,743.7790443552457
12,12,M_01,A_01,2003-01-05,1381-10-15,742.9151304001953,743.8734718431699
13,13,M_01,A_01,2003-02-04,1381-11-15,743.0048972806115,743.9632387235862
14,14,M_01,A_01,2003-03-06,1381-12-15,742.9406293980745,743.8989708410492
15,15,M_01,A_01,2003-04-04,1382-1-15,742.9870961989205,743.9454376418952
16,16,M_01,A_01,2003-05-05,1382-2-15,742.9354273509065,743.8937687938811
17,17,M_01,A_01,2003-06-05,1382-3-15,742.9789316665959,743.9372731095706
18,18,M_01,A_01,2003-07-06,1382-4-15,742.763792076556,743.7221335195306
19,19,M_01,A_01,2003-08-06,1382-5-15,742.648537857903,743.6068793008776
20,20,M_01,A_01,2003-09-06,1382-6-15,742.474081147723,743.4324225906977
21,21,M_01,A_01,2003-10-07,1382-7-15,742.3644539889115,743.3227954318861
22,22,M_01,A_01,2003-11-06,1382-8-15,742.2311879467553,743.18952938973
23,23,M_01,A_01,2003-12-06,1382-9-15,742.4947065603195,743.4530480032942
24,24,M_01,A_01,2004-01-05,1382-10-15,742.3853032595753,743.3436447025499
25,25,M_01,A_01,2004-02-04,1382-11-15,742.5856995636923,743.5440410066669
26,26,M_01,A_01,2004-03-05,1382-12-15,742.221186555835,743.1795279988096
27,27,M_01,A_01,2004-04-03,1383-1-15,742.0368890566397,742.9952304996143
28,28,M_01,A_01,2004-05-04,1383-2-15,742.1358881998011,743.0942296427758
29,29,M_01,A_01,2004-06-04,1383-3-15,742.0100486319702,742.9683900749449
30,30,M_01,A_01,2004-07-05,1383-4-15,741.7284603727257,742.6868018157004
31,31,M_01,A_01,2004-08-05,1383-5-15,741.3835002761199,742.3418417190945
32,32,M_01,A_01,2004-09-05,1383-6-15,741.3811085966199,742.3394500395946
33,33,M_01,A_01,2004-10-06,1383-7-15,741.3947906010934,742.353132044068
34,34,M_01,A_01,2004-11-05,1383-8-15,741.446361065839,742.4047025088137
35,35,M_01,A_01,2004-12-05,1383-9-15,741.7336791585998,742.6920206015744
