INDEX,MAHDOUDE_NAME,MAHDOUDE_CODE,AQUIFER_NAME,LOCATION_NAME,X,Y,ZONEUTM,X_,Y_,MIN_YEAR,MAX_YEAR,LEVEL_MSL,LEVEL_SRTM
1,بردسکن,4717,بردسکن,انابد,575180,3901313,40,57.82640842,35.25209539,1377,1396,915,915
2,بردسکن,4717,بردسکن,باب الحکم,582408,3900307,40,57.90575213,35.24245672,1377,1395,927,927
3,بردسکن,4717,بردسکن,بردسکن,586702,3901349,40,57.95305205,35.25148883,1377,1393,955,955
4,بردسکن,4717,بردسکن,چاه سیمانی - بلبل,568165,3891763,40,57.74851222,35.1664912,1377,1396,853,853
5,بردسکن,4717,بردسکن,چناران,600923,3902718,40,58.10951711,35.26249891,1375,1396,1001,1001
6,بردسکن,4717,بردسکن,حسن آباد - زنگینه,582594,3887739,40,57.90653687,35.12912792,1379,1396,869,869
7,بردسکن,4717,بردسکن,حطیطه,581067,3894360,40,57.89042894,35.18894781,1377,1396,874,874
8,بردسکن,4717,بردسکن,خرم آباد,585023,3891232,40,57.93355362,35.16041857,1375,1396,881,881
9,بردسکن,4717,بردسکن,داوطلب,559449,3895699,40,57.65309261,35.202534,1377,1396,915,915
10,بردسکن,4717,بردسکن,رکن آباد,595768,3887394,40,58.05107221,35.12484979,1380,1396,910,910
11,بردسکن,4717,بردسکن,سیف آباد,590865,3895784,40,57.99819214,35.20094726,1375,1396,915,915
12,بردسکن,4717,بردسکن,شرکت صبا,554528,3885833,40,57.59838261,35.11385462,1377,1396,844,844
13,بردسکن,4717,بردسکن,شفیع آباد,595259,3901886,40,58.04716183,35.25555291,1375,1393,977,977
14,بردسکن,4717,بردسکن,شمال چاه غضنفر,560250,3887594,40,57.66129981,35.12940675,1377,1396,857,857
15,بردسکن,4717,بردسکن,ظاهر آباد,588705,3888704,40,57.97370537,35.13730808,1375,1393,888,888
16,بردسکن,4717,بردسکن,عظیم آباد,599979,3892819,40,58.09793818,35.17334964,1375,1396,935,935
17,بردسکن,4717,بردسکن,کندر,603274,3898703,40,58.13485434,35.22606273,1375,1396,973,973
18,بردسکن,4717,بردسکن,یحیی آباد,572644,3892808,40,57.79778354,35.17559938,1375,1396,855,855
19,جوين - سلطان آباد,4740,جوین,ابراهیم آباد بالا جوین,559578,4051598,40,57.66618744,36.60803143,1374,1396,1094,1094
20,جوين - سلطان آباد,4740,جوین,اکتشافی آزادوار,475401,4066617,40,56.72445025,36.74496959,1353,1396,965,965
