,index,MAHDOUDE_NAME,MAHDOUDE_CODE,AQUIFER_NAME,LOCATION_NAME,DATE_GREGORIAN,DATE_PERSIAN,WATER_TABLE,WATER_TABLE_INTERPOLATE,STORAGE_COEFFICIENT_LOCATION,LEVEL,THISSEN_LOCATION,THISSEN_AQUIFER,HEAD_LOCATION,HEAD_AQUIFER_ARITHMETIC,HEAD_AQUIFER_THISSEN,STORAGE_COEFFICIENT_AQUIFER,Delta,Index,ADJ_HEAD_AQUIFER_THISSEN
0,0,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2001-10-07,1380-7-15,17.95,17.95,0.088,276.0,11.877912717000696,949.2506212639981,258.05,270.6865517241379,288.2533540631657,0.08800000000000001,0.0,0,288.2533540631657
1,1,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2001-11-06,1380-8-15,18.07,18.07,0.088,276.0,11.877912717000696,949.2506212639981,257.93,270.72344827586204,288.28794718636806,0.08800000000000001,0.03459312320234176,0,288.28794718636806
2,2,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2001-12-06,1380-9-15,18.19,18.19,0.088,276.0,11.877912717000696,949.2506212639981,257.81,270.761724137931,288.3162561381457,0.08800000000000001,0.02830895177766024,0,288.3162561381457
3,3,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2002-01-05,1380-10-15,18.26,18.26,0.088,276.0,11.877912717000696,949.2506212639981,257.74,270.77379310344827,288.3201597472695,0.08800000000000001,0.0039036091237676374,0,288.3201597472695
4,4,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2002-02-04,1380-11-15,18.337142857142858,18.337142857142858,0.088,276.0,11.877912717000696,949.2506212639981,257.66285714285715,270.844878296146,288.36559518298463,0.08800000000000001,0.04543543571514874,0,288.36559518298463
5,5,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2002-03-06,1380-12-15,18.414285714285715,18.414285714285715,0.088,276.0,11.877912717000696,949.2506212639981,257.5857142857143,270.7736772916063,288.31520657377075,0.08800000000000001,-0.050388609213882773,0,288.31520657377075
6,6,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2002-04-04,1381-1-15,18.46878787878788,18.46878787878788,0.088,276.0,11.877912717000696,949.2506212639981,257.5312121212121,270.6958480276907,288.24140827433627,0.08800000000000001,-0.07379829943448613,0,288.24140827433627
7,7,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2002-05-05,1381-2-15,18.52035714285714,18.52035714285714,0.088,276.0,11.877912717000696,949.2506212639981,257.47964285714284,270.62416544929505,288.17113598729605,0.08800000000000001,-0.07027228704021127,0,288.17113598729605
8,8,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2002-06-05,1381-3-15,18.577037037037037,18.577037037037037,0.088,276.0,11.877912717000696,949.2506212639981,257.42296296296297,270.53534165706577,288.10036324746756,0.08800000000000001,-0.07077273982849874,0,288.10036324746756
9,9,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,2002-07-06,1381-4-15,18.626923076923077,18.626923076923077,0.088,276.0,11.877912717000696,949.2506212639981,257.37307692307695,270.41019566599965,288.00096625488845,0.08800000000000001,-0.09939699257910206,0,288.00096625488845
