,MAHDOUDE_NAME,AQUIFER_NAME,DATE_GREGORIAN,DATE_PERSIAN,LOCATION_LIST,CHECK_LOCATION_CONDI
0,سرخس,سرخس,2001-10-07,1380-7-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
1,سرخس,سرخس,2001-11-06,1380-8-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
2,سرخس,سرخس,2001-12-06,1380-9-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
3,سرخس,سرخس,2002-01-05,1380-10-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
4,سرخس,سرخس,2002-02-04,1380-11-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
5,سرخس,سرخس,2002-03-06,1380-12-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
6,سرخس,سرخس,2002-04-04,1381-1-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
7,سرخس,سرخس,2002-05-05,1381-2-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
8,سرخس,سرخس,2002-06-05,1381-3-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
9,سرخس,سرخس,2002-07-06,1381-4-15,"['اراضی حسن آباد جر -wa', 'اراضی حسن آباد جر -wb', 'اول کچولی', 'ایستگاه کنترل گاز', 'بابا لقمان', 'بعد از آصف- چاه شماره 5', 'تام رسول', 'جاده شیلات چاه شماره 9', 'حاجی جهند', 'دامپروری (2)', 'راه جنگل چاه شماره 10', 'روستای یاس تپه چاه شماره 13', 'شیر تپه', 'صمد آباد', 'قبرستان تپه میراحمد', 'قبرستان عباس آباد', 'قبل از قوش سربزی شماره 4', 'قبل از نوروزآباد- اس 9', 'قلعه نو چاه شماره 6', 'قوش سربزی', 'قوش چاکر', 'معدن شن و ماسه -3', 'منطقه ویژه تجاری', 'نهر انقلاب', 'نوار مرزی-14', 'نوار مرزی-چاه شماره 11', 'پشت فرودگاه قدیم - 7', 'کلاته مره ای -اس 7', 'یاز تپه چاه شماره 2']",False
